N,Threads,PiErrMean,PiTime(s),PiSpdUp,IntErrMean,IntTime(s),IntSpdUp
10000,1*,0.000407346,0.000195,1.00,0.000407346,0.000151,1.00
10000,1,0.0111927,0.000099,1.97,0.0111927,0.000147,1.03
10000,2,0.00279265,0.000397,0.49,0.00279265,0.000080,1.89
10000,4,0.0268074,0.000433,0.45,0.0268074,0.000061,2.48
10000,8,0.00759265,0.000475,0.41,0.00759265,0.000052,2.90
10000,16,0.0152073,0.000715,0.27,0.0152073,0.000121,1.25
100000,1*,0.000167346,0.001907,1.00,0.000167346,0.001395,1.00
100000,1,0.00724865,0.000885,2.15,0.00724865,0.001331,1.05
100000,2,0.000487346,0.000814,2.34,0.000487346,0.000688,2.03
100000,4,0.00100735,0.000617,3.09,0.00100735,0.000354,3.94
100000,8,0.00236735,0.000566,3.37,0.00236735,0.000199,7.01
100000,16,0.00184735,0.000744,2.56,0.00184735,0.000182,7.66
1000000,1*,0.00196065,0.018803,1.00,0.00196065,0.012986,1.00
1000000,1,0.000198792,0.008835,2.13,0.000198792,0.013134,0.99
1000000,2,0.000324654,0.004797,3.92,0.000324654,0.006747,1.92
1000000,4,0.00128865,0.002623,7.17,0.00128865,0.003395,3.83
1000000,8,0.00269265,0.001599,11.76,0.00269265,0.001721,7.55
1000000,16,0.00328465,0.001319,14.26,0.00328465,0.000942,13.79
10000000,1*,0.00112445,0.167576,1.00,0.00112445,0.119995,1.00
10000000,1,0.000512014,0.079028,2.12,0.000512014,0.115918,1.04
10000000,2,0.000521454,0.042440,3.95,0.000521454,0.058956,2.04
10000000,4,0.000483411,0.022497,7.45,0.000483411,0.032690,3.67
10000000,8,0.000166254,0.011551,14.51,0.000166254,0.016860,7.12
10000000,16,3.30536e-05,0.006254,26.80,3.30536e-05,0.008524,14.08
100000000,1*,0.00019348,1.640047,1.00,0.00019348,1.201807,1.00
100000000,1,0.000111557,0.761764,2.15,0.000111557,1.150654,1.04
100000000,2,7.96558e-05,0.386647,4.24,7.96558e-05,0.579542,2.07
100000000,4,3.91173e-05,0.211643,7.75,3.91173e-05,0.317832,3.78
100000000,8,0.00020661,0.111103,14.76,0.00020661,0.168012,7.15
100000000,16,0.000159334,0.056114,29.23,0.000159334,0.084147,14.28
1000000000,1*,7.50701e-05,16.346061,1.00,7.50701e-05,11.976341,1.00
1000000000,1,4.86091e-05,7.577943,2.16,4.86091e-05,11.509711,1.04
1000000000,2,3.3953e-05,3.855819,4.24,3.3953e-05,5.847128,2.05
1000000000,4,2.65234e-05,2.046770,7.99,2.65234e-05,3.069509,3.90
1000000000,8,3.78891e-05,1.106473,14.77,3.78891e-05,1.679289,7.13
1000000000,16,3.51147e-05,0.555192,29.44,3.51147e-05,0.841400,14.23
